Target_Gene,Raw_CASX_Score,CASX_Score
AOC1,239.04615567880404,100.0
PSRC1,202.210338133625,84.59027248346297
TENM2,200.4350671569452,83.84761373874801
UGT2B17,182.7491733439224,76.44897777225081
PSORS1C3,172.67512919384006,72.2346481961003
AMN,169.12894373505054,70.75115318269305
DHRS2,165.26020822848926,69.13272405684177
AMZ1,164.91073449682543,68.98652681356023
MIP,149.81312061672165,62.67066004185245
CELSR2,133.3925161868756,55.8013394516302
HPR,130.67979052827556,54.666510200864295
MLIP,109.96117221262756,45.99917813006967
RAB29,102.97513856711268,43.07667275152858
TEKT4P2,94.4077823529687,39.49264411865934
LINC00910,92.61737147932878,38.74365181866227
