Target_Gene,Primary_Regulatory_Tissue,Tissue_Specificity_Index_Tau,Prioritization_Profile
AOC1,Liver,0.933,Tissue-Specific
PSRC1,Liver,0.886,Tissue-Specific
TENM2,Liver,1.0,Tissue-Specific
UGT2B17,Liver,0.852,Tissue-Specific
PSORS1C3,Adipose_Subcutaneous,0.499,Systemic/Pleiotropic
AMN,Liver,0.852,Tissue-Specific
DHRS2,Liver,0.995,Tissue-Specific
AMZ1,Liver,1.0,Tissue-Specific
MIP,Liver,0.869,Tissue-Specific
CELSR2,Liver,0.937,Tissue-Specific
HPR,Adipose_Subcutaneous,0.52,Systemic/Pleiotropic
MLIP,Liver,0.987,Tissue-Specific
RAB29,Liver,0.819,Tissue-Specific
TEKT4P2,Liver,0.308,Systemic/Pleiotropic
LINC00910,Liver,0.333,Systemic/Pleiotropic
