GENE,PANCREAS,ADIPOSE_SUBQ,ADIPOSE_VISC,MUSCLE,BLOOD,TISSUE_COUNT,MEAN_EXPRESSION,EXPRESSION_SCORE,CASX_V3_SCORE,RANK,GWAS_SCORE,CASX_V4_SCORE,RANK_V4,CASX_V5_SCORE,RANK_V5
FTO,1,1,1,1,1,5,9.416984126984127,3.0,8.0,1,1,9.0,1,12.0,1
JAZF1,1,1,1,1,1,5,8.301746031746033,2.0,7.0,2,1,8.0,2,10.0,2
VEGFA,1,0,0,0,1,2,9.05285714285714,3.0,5.0,4,1,6.0,4,9.0,3
NOTCH2,1,1,0,1,0,3,8.44428571428571,2.0,5.0,3,1,6.0,3,8.0,4
TSPAN8,1,0,0,0,0,1,9.3084126984127,3.0,4.0,6,1,5.0,6,8.0,5
ZBED3,1,1,1,0,0,3,7.293492063492065,1.0,4.0,5,1,5.0,5,6.0,6
IRS1,0,1,1,0,1,3,,0.0,3.0,7,1,4.0,7,4.0,7
GRB14,0,1,1,0,1,3,,0.0,3.0,8,1,4.0,8,4.0,8
KLF14,0,1,1,1,0,3,,0.0,3.0,9,1,4.0,9,4.0,9
PROX1,1,0,0,0,0,1,7.0409523809523815,1.0,2.0,14,1,3.0,14,4.0,10
ADCY5,0,1,0,1,0,2,,0.0,2.0,10,1,3.0,10,3.0,11
GCK,0,1,1,0,0,2,,0.0,2.0,12,1,3.0,12,3.0,12
KCNJ11,1,0,0,1,0,2,6.574920634920633,0.0,2.0,11,1,3.0,11,3.0,13
CDKN2B,0,0,0,1,1,2,,0.0,2.0,13,1,3.0,13,3.0,14
CDKAL1,0,0,0,0,1,1,,0.0,1.0,15,1,2.0,15,2.0,15
SUGP1,0,0,0,1,0,1,,0.0,1.0,16,1,2.0,16,2.0,16
ZFAND6,0,0,0,1,0,1,,0.0,1.0,17,1,2.0,17,2.0,17
TMEM154,0,0,0,0,1,1,,0.0,1.0,18,1,2.0,18,2.0,18
PPARG,0,0,0,0,1,1,,0.0,1.0,19,1,2.0,19,2.0,19
CRY2,0,0,0,0,1,1,,0.0,1.0,20,1,2.0,20,2.0,20
CDKN2A,0,0,0,0,1,1,,0.0,1.0,21,1,2.0,21,2.0,21
FAF1,0,0,0,1,0,1,,0.0,1.0,22,1,2.0,22,2.0,22
ADAMTS9,0,0,0,0,0,0,,0.0,0.0,23,1,1.0,23,1.0,23
HNF4A,0,0,0,0,0,0,,0.0,0.0,24,1,1.0,24,1.0,24
IGF2BP2,0,0,0,0,0,0,,0.0,0.0,25,1,1.0,25,1.0,25
HHEX,0,0,0,0,0,0,,0.0,0.0,26,1,1.0,26,1.0,26
CHCHD9,0,0,0,0,0,0,,0.0,0.0,27,1,1.0,27,1.0,27
CENTD2,0,0,0,0,0,0,,0.0,0.0,28,1,1.0,28,1.0,28
GCKR,0,0,0,0,0,0,,0.0,0.0,29,1,1.0,29,1.0,29
KCNK16,0,0,0,0,0,0,,0.0,0.0,30,1,1.0,30,1.0,30
HNF1B,0,0,0,0,0,0,,0.0,0.0,31,1,1.0,31,1.0,31
LOC646736,0,0,0,0,0,0,,0.0,0.0,32,1,1.0,32,1.0,32
MTNR1B,0,0,0,0,0,0,,0.0,0.0,33,1,1.0,33,1.0,33
SLC30A8,0,0,0,0,0,0,,0.0,0.0,34,1,1.0,34,1.0,34
KCNQ1,0,0,0,0,0,0,,0.0,0.0,35,1,1.0,35,1.0,35
TCF7L2,0,0,0,0,0,0,,0.0,0.0,36,1,1.0,36,1.0,36
ZMIZ1,0,0,0,0,0,0,,0.0,0.0,37,1,1.0,37,1.0,37
