Gene Symbol,CAS-X v6 Score,Tissue Count,Max eQTL Slope,GWAS -log10(P)
JAZF1,100.0,5.0,0.638274,1.0
FTO,79.31108288923497,5.0,0.839131,1.0
GRB14,70.81295481904569,4.0,0.886476,1.0
CDKN2B,67.99290398555029,3.0,0.650098,1.0
ZBED3,67.26909604417793,5.0,0.47497,1.0
VEGFA,62.788974858336566,5.0,0.528589,1.0
ZFAND6,60.55615915028882,3.0,0.773317,1.0
NOTCH2,59.70358019616374,4.0,0.548438,1.0
KLF14,59.03750443964163,3.0,0.728888,1.0
IRS1,58.717006110098914,3.0,0.625716,1.0
GCK,54.83146778489314,2.0,0.789119,1.0
ADCY5,53.35777723287404,3.0,0.745186,1.0
SUGP1,52.067455581396175,1.0,0.445599,1.0
PROX1,50.79352511881828,2.0,0.874186,1.0
CDKAL1,50.37249178881207,3.0,0.684709,1.0
