GENE,CASX_v6_Final_Score,eQTL_Tissue_Count,eQTL_Max_Abs_Slope,eQTL_NegLog10_Pval,GWAS_NegLog10_Pval
JAZF1,100.0,5.0,0.638274,43.02830861523056,1.0
FTO,79.31108288923497,5.0,0.839131,16.287630660287043,1.0
GRB14,70.81295481904569,4.0,0.886476,12.910183168768631,1.0
CDKN2B,67.99290398555029,3.0,0.650098,24.55751082393674,1.0
ZBED3,67.26909604417793,5.0,0.47497,16.897487401223557,1.0
VEGFA,62.788974858336566,5.0,0.528589,10.766491166154834,1.0
ZFAND6,60.55615915028882,3.0,0.773317,13.230065391602855,1.0
NOTCH2,59.70358019616374,4.0,0.548438,13.542743513716463,1.0
KLF14,59.03750443964163,3.0,0.728888,13.256660380333877,1.0
IRS1,58.717006110098914,3.0,0.625716,16.41582035275964,1.0
GCK,54.83146778489314,2.0,0.789119,13.59255810504154,1.0
ADCY5,53.357777232874035,3.0,0.745186,7.221510855224791,1.0
SUGP1,52.067455581396175,1.0,0.445599,28.896295459974386,1.0
PROX1,50.79352511881828,2.0,0.874186,6.831422971855585,1.0
CDKAL1,50.37249178881207,3.0,0.684709,6.370750487285103,1.0
TMEM154,48.88696854656156,2.0,0.348757,22.65518935448141,1.0
TCF7L2,45.67669817857703,2.0,0.778341,5.110503329032105,1.0
HHEX,43.685219389930005,4.0,0.348836,4.7783093623531805,1.0
TSPAN8,42.42275649502228,3.0,0.463933,6.113319805843823,1.0
KCNJ11,36.45708176745184,2.0,0.299189,12.313218990032517,1.0
FAF1,33.36884810636518,2.0,0.266371,10.433064268433514,1.0
GCKR,33.34478056309172,2.0,0.405743,5.723922107148429,1.0
CRY2,30.54666812168686,1.0,0.318256,12.386511251915337,1.0
ADAMTS9,27.896111809645554,2.0,0.244671,5.875437090687296,1.0
IGF2BP2,24.046114768764063,1.0,0.368686,4.410793465436809,1.0
CDKN2A,20.847899507965057,1.0,0.213074,6.552899361363562,1.0
KCNQ1,15.717017002193245,1.0,0.0987057,5.441181070306534,1.0
ZMIZ1,15.438454777473288,1.0,0.123921,4.324286715747458,1.0
PPARG,15.359083508573724,1.0,0.114988,4.547946624481185,1.0
SLC30A8,7.784013960269897e-15,0.0,0.0,0.0,1.0
MTNR1B,0.0,0.0,0.0,0.0,1.0
HNF1B,0.0,0.0,0.0,0.0,1.0
LOC646736,0.0,0.0,0.0,0.0,1.0
HNF4A,0.0,0.0,0.0,0.0,1.0
KCNK16,0.0,0.0,0.0,0.0,1.0
CHCHD9,0.0,0.0,0.0,0.0,1.0
CENTD2,0.0,0.0,0.0,0.0,1.0
