Target_Gene,Primary_eQTL_Tissue,Regulatory_Architecture
JAZF1,Whole_Blood,Active Enhancer (H3K27ac)
FTO,Muscle_Skeletal,Super-Enhancer
GRB14,Adipose_Visceral_Omentum,Active Enhancer (H3K27ac)
CDKN2B,Whole_Blood,Active Promoter (H3K4me3)
ZBED3,Adipose_Visceral_Omentum,Active Promoter (H3K4me3)
VEGFA,Pancreas,Active Promoter (H3K4me3)
ZFAND6,Muscle_Skeletal,Active Promoter (H3K4me3)
NOTCH2,Pancreas,Active Enhancer (H3K27ac)
KLF14,Adipose_Subcutaneous,Active Enhancer (H3K27ac)
IRS1,Adipose_Subcutaneous,Super-Enhancer
GCK,Adipose_Subcutaneous,Active Promoter (H3K4me3)
ADCY5,Muscle_Skeletal,Active Enhancer (H3K27ac)
SUGP1,Muscle_Skeletal,Active Promoter (H3K4me3)
PROX1,Pancreas,Active Enhancer (H3K27ac)
CDKAL1,Muscle_Skeletal,Active Promoter (H3K4me3)
