Target_Gene,Primary_Regulatory_Tissue,Tissue_Specificity_Index_Tau,Prioritization_Profile
JAZF1,Pancreas,0.464,Systemic/Pleiotropic
VEGFA,Adipose (Subcutaneous),0.504,Systemic/Pleiotropic
ZBED3,Skeletal Muscle,0.505,Systemic/Pleiotropic
NOTCH2,Skeletal Muscle,0.533,Systemic/Pleiotropic
FTO,Pancreas,0.633,Systemic/Pleiotropic
IRS1,Whole Blood,0.635,Systemic/Pleiotropic
CDKAL1,Adipose (Subcutaneous),0.674,Systemic/Pleiotropic
CDKN2B,Skeletal Muscle,0.687,Systemic/Pleiotropic
GRB14,Adipose (Subcutaneous),0.71,Systemic/Pleiotropic
ADCY5,Pancreas,0.763,Systemic/Pleiotropic
ZFAND6,Pancreas,0.812,Tissue-Specific
KLF14,Skeletal Muscle,0.863,Tissue-Specific
GCK,Adipose (Visceral Omentum),0.885,Tissue-Specific
PROX1,Adipose (Visceral Omentum),0.918,Tissue-Specific
SUGP1,Skeletal Muscle,1.0,Tissue-Specific
