GENE,PANCREAS,ADIPOSE_SUBQ,ADIPOSE_VISC,MUSCLE,BLOOD,TISSUE_COUNT
FTO,1,1,1,1,1,5
JAZF1,1,1,1,1,1,5
IRS1,0,1,1,0,1,3
GRB14,0,1,1,0,1,3
NOTCH2,1,1,0,1,0,3
KLF14,0,1,1,1,0,3
ZBED3,1,1,1,0,0,3
VEGFA,1,0,0,0,1,2
CDKN2B,0,0,0,1,1,2
ADCY5,0,1,0,1,0,2
KCNJ11,1,0,0,1,0,2
GCK,0,1,1,0,0,2
CDKAL1,0,0,0,0,1,1
ZFAND6,0,0,0,1,0,1
CDKN2A,0,0,0,0,1,1
SUGP1,0,0,0,1,0,1
TMEM154,0,0,0,0,1,1
PROX1,1,0,0,0,0,1
PPARG,0,0,0,0,1,1
CRY2,0,0,0,0,1,1
FAF1,0,0,0,1,0,1
TSPAN8,1,0,0,0,0,1
ADAMTS9,0,0,0,0,0,0
HNF4A,0,0,0,0,0,0
IGF2BP2,0,0,0,0,0,0
HHEX,0,0,0,0,0,0
CHCHD9,0,0,0,0,0,0
CENTD2,0,0,0,0,0,0
GCKR,0,0,0,0,0,0
KCNK16,0,0,0,0,0,0
HNF1B,0,0,0,0,0,0
LOC646736,0,0,0,0,0,0
MTNR1B,0,0,0,0,0,0
SLC30A8,0,0,0,0,0,0
KCNQ1,0,0,0,0,0,0
TCF7L2,0,0,0,0,0,0
ZMIZ1,0,0,0,0,0,0
