GENE,PANCREAS,ADIPOSE_SUBQ,ADIPOSE_VISC,MUSCLE,BLOOD,TISSUE_COUNT,MEAN_EXPRESSION,EXPRESSION_SCORE,CASX_V3_SCORE,RANK
FTO,1,1,1,1,1,5,9.416984126984127,3.0,8.0,1
JAZF1,1,1,1,1,1,5,8.301746031746033,2.0,7.0,2
NOTCH2,1,1,0,1,0,3,8.44428571428571,2.0,5.0,3
VEGFA,1,0,0,0,1,2,9.05285714285714,3.0,5.0,4
ZBED3,1,1,1,0,0,3,7.293492063492065,1.0,4.0,5
TSPAN8,1,0,0,0,0,1,9.3084126984127,3.0,4.0,6
IRS1,0,1,1,0,1,3,,0.0,3.0,7
GRB14,0,1,1,0,1,3,,0.0,3.0,8
KLF14,0,1,1,1,0,3,,0.0,3.0,9
ADCY5,0,1,0,1,0,2,,0.0,2.0,10
KCNJ11,1,0,0,1,0,2,6.574920634920633,0.0,2.0,11
GCK,0,1,1,0,0,2,,0.0,2.0,12
CDKN2B,0,0,0,1,1,2,,0.0,2.0,13
PROX1,1,0,0,0,0,1,7.0409523809523815,1.0,2.0,14
CDKAL1,0,0,0,0,1,1,,0.0,1.0,15
SUGP1,0,0,0,1,0,1,,0.0,1.0,16
ZFAND6,0,0,0,1,0,1,,0.0,1.0,17
TMEM154,0,0,0,0,1,1,,0.0,1.0,18
PPARG,0,0,0,0,1,1,,0.0,1.0,19
CRY2,0,0,0,0,1,1,,0.0,1.0,20
CDKN2A,0,0,0,0,1,1,,0.0,1.0,21
FAF1,0,0,0,1,0,1,,0.0,1.0,22
ADAMTS9,0,0,0,0,0,0,,0.0,0.0,23
HNF4A,0,0,0,0,0,0,,0.0,0.0,24
IGF2BP2,0,0,0,0,0,0,,0.0,0.0,25
HHEX,0,0,0,0,0,0,,0.0,0.0,26
CHCHD9,0,0,0,0,0,0,,0.0,0.0,27
CENTD2,0,0,0,0,0,0,,0.0,0.0,28
GCKR,0,0,0,0,0,0,,0.0,0.0,29
KCNK16,0,0,0,0,0,0,,0.0,0.0,30
HNF1B,0,0,0,0,0,0,,0.0,0.0,31
LOC646736,0,0,0,0,0,0,,0.0,0.0,32
MTNR1B,0,0,0,0,0,0,,0.0,0.0,33
SLC30A8,0,0,0,0,0,0,,0.0,0.0,34
KCNQ1,0,0,0,0,0,0,,0.0,0.0,35
TCF7L2,0,0,0,0,0,0,,0.0,0.0,36
ZMIZ1,0,0,0,0,0,0,,0.0,0.0,37
