SNP,GENE,EXPRESSION_SCORE
rs7903146,TCF7L2,2.0
rs13266634,SLC30A8,2.0
rs5219,KCNJ11,1.0
rs1801282,PPARG,1.0
rs7756992,CDKAL1,1.0
rs4402960,IGF2BP2,1.0
rs10830963,MTNR1B,0.0
rs7172432,IRS1,0.0
rs972283,KLF14,0.0
rs1111875,HHEX,1.0
rs5015480,HNF1B,1.0
rs7578326,LOC646736,1.0
rs10923931,NOTCH2,1.0
rs864745,JAZF1,1.0
rs4607103,ADAMTS9,1.0
rs12779790,TCF7L2,2.0
rs10401969,SUGP1,1.0
rs6813195,TMEM154,1.0
rs231362,GCK,1.0
rs780094,GCKR,1.0
rs7957197,HNF4A,1.0
rs10811661,CDKN2A,1.0
rs10811662,CDKN2A,1.0
rs8050136,FTO,1.0
rs9939609,FTO,1.0
rs243021,ADCY5,1.0
rs11708067,ADCY5,1.0
rs11634397,ZFAND6,1.0
rs2943641,IRS1,0.0
rs1801214,KCNQ1,1.0
rs2237892,KCNQ1,1.0
rs2237895,KCNQ1,1.0
rs2237897,KCNQ1,1.0
rs9472138,VEGFA,1.0
rs12571751,ZBED3,1.0
rs10965250,CDKN2B,1.0
rs2796441,CRY2,1.0
rs1535500,KCNK16,1.0
rs3923113,GRB14,1.0
rs4457053,ZMIZ1,1.0
rs17106184,FAF1,1.0
rs13292136,CHCHD9,1.0
rs11642841,FTO,1.0
rs340874,PROX1,1.0
rs340874A,PROX1,1.0
rs7961581,TSPAN8,1.0
rs864745A,JAZF1,1.0
rs1552224,CENTD2,1.0
rs231361,GCK,1.0
rs7901695,TCF7L2,2.0
