SNP,GENE,CHR,POS,P_VALUE,SOURCE,GWAS_SCORE,REGULATORY_SCORE,EQTL_SCORE,CHROMATIN_SCORE,EXPRESSION_SCORE,FUNCTIONAL_SCORE,CRISPR_SCORE,CASX_TOTAL,PRIORITY_TIER,CRISPR_STRATEGY
rs13266634,SLC30A8,8,118184783,5e-08,Literature,2,0,0,0,0,0,0,0,Unassigned,Unassigned
rs5219,KCNJ11,11,17409572,5e-08,Literature,2,0,0,0,0,0,0,0,Unassigned,Unassigned
rs1801282,PPARG,3,12351626,5e-08,Literature,2,0,0,0,0,0,0,0,Unassigned,Unassigned
rs7903146,TCF7L2,10,114758349,5e-08,Literature,2,0,0,0,0,0,0,0,Unassigned,Unassigned
rs12779790,TCF7L2,10,123010098,5e-08,Literature,2,0,0,0,0,0,0,0,Unassigned,Unassigned
rs7756992,CDKAL1,6,20679709,5e-08,Literature,2,0,0,0,0,0,0,0,Unassigned,Unassigned
rs4402960,IGF2BP2,3,185511687,5e-08,Literature,2,0,0,0,0,0,0,0,Unassigned,Unassigned
rs10830963,MTNR1B,11,92708710,5e-08,Literature,2,0,0,0,0,0,0,0,Unassigned,Unassigned
rs7172432,IRS1,2,227093465,5e-08,Literature,2,0,0,0,0,0,0,0,Unassigned,Unassigned
rs972283,KLF14,1,120517563,5e-08,Literature,2,0,0,0,0,0,0,0,Unassigned,Unassigned
