SNP,GENE
rs7903146,TCF7L2
rs13266634,SLC30A8
rs5219,KCNJ11
rs1801282,PPARG
rs7756992,CDKAL1
rs4402960,IGF2BP2
rs10830963,MTNR1B
rs7172432,IRS1
rs972283,KLF14
rs1111875,HHEX
rs5015480,HNF1B
rs7578326,LOC646736
rs10923931,NOTCH2
rs864745,JAZF1
rs4607103,ADAMTS9
rs12779790,TCF7L2
rs10401969,SUGP1
rs6813195,TMEM154
rs231362,GCK
rs780094,GCKR
rs7957197,HNF4A
rs10811661,CDKN2A
rs10811662,CDKN2A
rs8050136,FTO
rs9939609,FTO
rs243021,ADCY5
rs11708067,ADCY5
rs11634397,ZFAND6
rs2943641,IRS1
rs1801214,KCNQ1
rs2237892,KCNQ1
rs2237895,KCNQ1
rs2237897,KCNQ1
rs9472138,VEGFA
rs12571751,ZBED3
rs10965250,CDKN2B
rs2796441,CRY2
rs1535500,KCNK16
rs3923113,GRB14
rs4457053,ZMIZ1
rs17106184,FAF1
rs13292136,CHCHD9
rs11642841,FTO
rs340874,PROX1
rs340874A,PROX1
rs7961581,TSPAN8
rs864745A,JAZF1
rs1552224,CENTD2
rs231361,GCK
rs7901695,TCF7L2
